name,num_workers,outer,inner,N,nnz,csrmkl_sd,csrmkl_mflops,csrmkl_sum,csriemkl_sd,csriemkl_mflops,csriemkl_sum
oscil_dcop_17,5,30,250000,430,1544,77.473641,1753.07,2227,77.108184,1807.02,2227
adder_dcop_39,5,30,5000,1813,11246,820.473634,6677.46,31625,640.222325,5715.05,31625
adder_dcop_55,5,30,5000,1813,11246,1493.326371,5210.97,12007,684.051507,7886.27,12007
adder_dcop_59,5,30,5000,1813,11246,673.482149,7139.04,8051,345.702452,7986.42,8051
adder_dcop_23,5,30,5000,1813,11246,699.785023,7197.8,57601,592.318439,7909.33,57601
cryg2500,5,30,5000,2500,12349,502.924349,9334.03,3730,596.354686,13823.1,54925
bfwa782,5,30,25000,782,7514,405.273188,6294.38,3270,420.648152,7804.85,4408
bfwb398,5,30,25000,398,2910,298.259064,2711.14,63471,114.829987,2399.3,63471
bfwb782,5,30,25000,782,5982,476.544606,6543.03,21599,273.975934,6651.66,21599
tols340,5,30,25000,340,2196,58.324510,2455.36,11515,61.520798,2482.52,3647
tub100,5,30,250000,100,396,54.250201,764.51,48903,29.851488,995.458,48903
pde225,5,30,250000,225,1065,102.167087,1928.83,53888,230.033445,2489.68,52165
rdb200,5,30,250000,200,1120,67.592342,1370.1,16943,136.847435,2472.64,16943
bfwa398,5,30,25000,398,3678,166.817476,4679.23,26993,195.016862,6166.48,41717
rdb2048,5,30,5000,2048,12032,460.017647,8301.23,50443,455.774556,12573.3,32639
