name,threads,outer,inner,N,nnz,ell_sd,ell_mflops,ell_sum,ellgs_sd,ellgs_mflops,ellgs_sum,bellgs_sd,bellgs_mflops,bellgs_sum
viscoplastic1,5,30,2500,4326,61166,71.1066994788,2615.42189282,64578,128.460764929,3320.62975027,64578,407.436469113,3481.93548387,64578
viscoplastic2,5,30,500,32769,381326,-1,-1,-1,-1,-1,-1,-1,-1,-1
c-65,5,30,500,48066,360428,-1,-1,-1,-1,-1,-1,-1,-1,-1
c-37,5,30,2500,8204,74676,-1,-1,-1,-1,-1,-1,-1,-1,-1
c-38,5,30,2500,8127,77689,-1,-1,-1,-1,-1,-1,-1,-1,-1
c-53,5,30,500,30235,355139,-1,-1,-1,-1,-1,-1,-1,-1,-1
c-44,5,30,2500,10728,85000,-1,-1,-1,-1,-1,-1,-1,-1,-1
c-50,5,30,500,22401,180245,-1,-1,-1,-1,-1,-1,-1,-1,-1
c-25,5,30,5000,3797,49635,-1,-1,-1,-1,-1,-1,-1,-1,-1
c-46,5,30,500,14913,130397,-1,-1,-1,-1,-1,-1,-1,-1,-1
c-45,5,30,500,13206,174452,-1,-1,-1,-1,-1,-1,-1,-1,-1
c-18,5,30,5000,2169,15145,-1,-1,-1,-1,-1,-1,-1,-1,-1
c-35,5,30,2500,6537,62891,-1,-1,-1,-1,-1,-1,-1,-1,-1
c-33,5,30,2500,6317,56123,-1,-1,-1,-1,-1,-1,-1,-1,-1
c-48,5,30,500,18354,166080,-1,-1,-1,-1,-1,-1,-1,-1,-1
c-56,5,30,500,35910,380240,-1,-1,-1,-1,-1,-1,-1,-1,-1
c-42,5,30,500,10471,110285,-1,-1,-1,-1,-1,-1,-1,-1,-1
c-21,5,30,5000,3509,32145,-1,-1,-1,-1,-1,-1,-1,-1,-1
c-27,5,30,5000,4563,30927,-1,-1,-1,-1,-1,-1,-1,-1,-1
c-26,5,30,5000,4307,34537,-1,-1,-1,-1,-1,-1,-1,-1,-1
c-20,5,30,5000,2921,20445,-1,-1,-1,-1,-1,-1,-1,-1,-1
c-24,5,30,5000,4119,35699,-1,-1,-1,-1,-1,-1,-1,-1,-1
c-31,5,30,2500,5339,78571,-1,-1,-1,-1,-1,-1,-1,-1,-1
c-67,5,30,500,57975,530229,-1,-1,-1,-1,-1,-1,-1,-1,-1
c-40,5,30,2500,9941,81501,-1,-1,-1,-1,-1,-1,-1,-1,-1
c-36,5,30,2500,7479,65941,-1,-1,-1,-1,-1,-1,-1,-1,-1
c-28,5,30,5000,4598,30590,-1,-1,-1,-1,-1,-1,-1,-1,-1
c-47,5,30,500,15343,211401,-1,-1,-1,-1,-1,-1,-1,-1,-1
c-64b,5,30,500,51035,707601,-1,-1,-1,-1,-1,-1,-1,-1,-1
c-39,5,30,500,9271,116587,-1,-1,-1,-1,-1,-1,-1,-1,-1
c-54,5,30,500,31793,385987,-1,-1,-1,-1,-1,-1,-1,-1,-1
c-51,5,30,500,23196,203048,-1,-1,-1,-1,-1,-1,-1,-1,-1
c-22,5,30,5000,3792,28870,-1,-1,-1,-1,-1,-1,-1,-1,-1
c-34,5,30,2500,6611,64333,-1,-1,-1,-1,-1,-1,-1,-1,-1
c-23,5,30,5000,3969,31079,-1,-1,-1,-1,-1,-1,-1,-1,-1
c-64,5,30,500,51035,707985,-1,-1,-1,-1,-1,-1,-1,-1,-1
c-66,5,30,500,49989,444853,-1,-1,-1,-1,-1,-1,-1,-1,-1
c-52,5,30,500,23948,202708,-1,-1,-1,-1,-1,-1,-1,-1,-1
c-73b,5,30,25,169422,1279274,-1,-1,-1,-1,-1,-1,-1,-1,-1
c-big,5,30,25,345241,2340859,-1,-1,-1,-1,-1,-1,-1,-1,-1
c-49,5,30,500,21132,157040,-1,-1,-1,-1,-1,-1,-1,-1,-1
c-62,5,30,500,41731,559341,-1,-1,-1,-1,-1,-1,-1,-1,-1
c-43,5,30,500,11125,123659,-1,-1,-1,-1,-1,-1,-1,-1,-1
c-73,5,30,25,169422,1279274,-1,-1,-1,-1,-1,-1,-1,-1,-1
c-61,5,30,500,43618,310016,-1,-1,-1,-1,-1,-1,-1,-1,-1
c-32,5,30,2500,5975,54471,-1,-1,-1,-1,-1,-1,-1,-1,-1
c-57,5,30,500,37833,403373,-1,-1,-1,-1,-1,-1,-1,-1,-1
c-29,5,30,5000,5033,43731,-1,-1,-1,-1,-1,-1,-1,-1,-1
c-30,5,30,2500,5321,65693,-1,-1,-1,-1,-1,-1,-1,-1,-1
c-41,5,30,500,9769,101635,-1,-1,-1,-1,-1,-1,-1,-1,-1
c-66b,5,30,500,49989,444851,-1,-1,-1,-1,-1,-1,-1,-1,-1
c-67b,5,30,500,57975,530583,-1,-1,-1,-1,-1,-1,-1,-1,-1
c-19,5,30,5000,2327,21817,-1,-1,-1,-1,-1,-1,-1,-1,-1
c-60,5,30,500,43640,298570,-1,-1,-1,-1,-1,-1,-1,-1,-1
hvdc1,5,30,500,24842,158426,-1,-1,-1,-1,-1,-1,-1,-1,-1
hvdc2,5,30,25,189860,1339638,-1,-1,-1,-1,-1,-1,-1,-1,-1
tmt_unsym,5,30,25,917825,4584801,82.5769993945,4247.80821495,51331,76.811957613,4451.2631068,51331,469.047588415,5623.22281276,51331
t2em,5,30,25,921632,4590832,111.690680776,4405.78886756,32297,228.488707603,4480.31750163,32297,488.664099345,6083.25795053,32297
tmt_sym,5,30,25,726713,5080961,75.2761806124,3632.71758818,31402,248.210534457,3890.4754977,31402,162.120089939,5459.48531519,31402
vsp_south31_slptsk,5,30,500,39668,379828,-1,-1,-1,-1,-1,-1,-1,-1,-1
vsp_bump2_e18_aa01_model1_crew1,5,30,500,56438,601602,-1,-1,-1,-1,-1,-1,-1,-1,-1
