name,num_workers,outer,inner,N,nnz,nlevels,sd,mflops,sum
fpga_dcop_08,5,30,125000,1220,3855,6,12.0009248211,1509.20873124,11663
oscil_dcop_52,5,30,250000,430,1027,10,2.19197719064,310.714285714,24813
adder_dcop_53,5,30,25000,1813,5577,14,3.8435578565,837.407363137,21184
fpga_dcop_06,5,30,125000,1220,3840,6,7.94466730247,1439.47946996,25012
adder_dcop_14,5,30,25000,1813,5577,14,3.34691243728,834.017857143,34302
oscil_dcop_06,5,30,250000,430,1027,10,1.58854302397,308.800040565,41682
adder_dcop_30,5,30,25000,1813,5577,14,4.32627793384,841.228386167,26474
oscil_dcop_37,5,30,250000,430,1027,10,2.28197487749,311.532854183,55297
ASIC_680ks,5,30,125,682712,1469428,47,19.5934900151,3019.46466809,59567
fpga_dcop_13,5,30,125000,1220,3858,6,13.6491549878,1507.79896014,59475
fpga_dcop_51,5,30,125000,1220,3858,6,11.1871929838,1523.73803716,707
adder_dcop_34,5,30,25000,1813,5577,14,3.48436408944,840.824531925,30504
init_adder1,5,30,25000,1813,5577,14,3.34228380638,842.543595911,26244
fpga_dcop_49,5,30,125000,1220,3858,6,13.974989495,1532.75026741,707
oscil_dcop_53,5,30,250000,430,1027,10,2.07858162398,311.676347911,24813
adder_dcop_60,5,30,25000,1813,5577,14,4.16913956338,839.917276106,21117
fpga_dcop_12,5,30,125000,1220,3858,6,11.3335271748,1526.1245458,42441
oscil_dcop_20,5,30,250000,430,1027,10,1.59827267322,308.87835062,20899
adder_dcop_67,5,30,25000,1813,5577,14,3.37376128982,833.026159334,21103
adder_dcop_02,5,30,25000,1813,5577,14,3.04827385108,739.471184294,58098
oscil_dcop_22,5,30,250000,430,1027,10,2.70558238765,309.184139717,34515
adder_dcop_61,5,30,25000,1813,5577,14,4.76488710479,840.320259086,21109
fpga_dcop_02,5,30,125000,1220,3858,6,8.75163109755,1481.84196119,46368
adder_dcop_16,5,30,25000,1813,5577,14,4.10652352452,837.807940684,30155
oscil_dcop_33,5,30,250000,430,1027,10,3.32923335592,307.754503879,21382
fpga_dcop_18,5,30,125000,1220,3858,6,14.504359335,1513.79567487,19832
adder_trans_01,5,30,25000,1814,8201,23,3.22651606743,844.734403953,10261
fpga_dcop_37,5,30,125000,1220,3858,6,11.3380504608,1502.68336315,707
oscil_dcop_26,5,30,250000,430,1027,10,2.29120835662,311.222403925,44508
fpga_dcop_01,5,30,125000,1220,3858,6,13.9107061129,1507.79896014,35392
oscil_dcop_54,5,30,250000,430,1027,10,2.58969270191,314.030835869,24813
oscil_dcop_35,5,30,250000,430,1027,10,1.75576708964,310.896699594,15071
adder_dcop_32,5,30,25000,1813,5577,14,4.54017971186,851.762917933,27554
fpga_dcop_47,5,30,125000,1220,3858,6,13.081767676,1495.57956778,707
adder_dcop_68,5,30,25000,1813,5577,14,4.01770536162,832.927119249,21103
fpga_dcop_35,5,30,125000,1220,3858,6,10.5011916049,1523.26163082,708
adder_dcop_17,5,30,25000,1813,5577,14,3.29885820603,839.212985146,35837
oscil_dcop_30,5,30,250000,430,1027,10,1.75911043407,311.206500077,25767
adder_dcop_12,5,30,25000,1813,5577,14,3.38973192668,841.531531532,52207
adder_dcop_15,5,30,25000,1813,5577,14,3.93039057666,833.125222975,29456
adder_dcop_52,5,30,25000,1813,5577,14,4.30661667678,834.117156804,21286
fpga_trans_02,5,30,125000,1220,4334,7,22.0894488228,1391.49063372,32277
oscil_dcop_34,5,30,250000,430,1027,10,1.99088123531,311.65242311,701
adder_dcop_33,5,30,25000,1813,5577,14,3.48473322441,831.740472516,27160
ASIC_320ks,5,30,2500,321671,807286,25,4.93418276534,3432.72355565,43432
adder_dcop_64,5,30,25000,1813,5577,14,3.55230360401,841.228386167,21103
adder_dcop_18,5,30,25000,1813,5577,14,4.03480492928,842.746300974,32829
oscil_dcop_31,5,30,250000,430,1027,10,2.16209668696,309.082142767,30361
fpga_dcop_43,5,30,125000,1220,3858,6,8.0214080357,1507.23920307,707
adder_dcop_47,5,30,25000,1813,5577,14,5.47322061015,840.421065259,24430
fpga_dcop_25,5,30,125000,1220,3858,6,14.6022874111,1497.32620321,622
oscil_dcop_14,5,30,250000,430,1027,10,3.17180319836,309.137055838,43524
oscil_dcop_29,5,30,250000,430,1027,10,2.91329090183,312.195622084,35163
fpga_dcop_45,5,30,125000,1220,3858,6,9.67902085761,1505.00432473,707
adder_dcop_54,5,30,25000,1813,5577,14,3.82321159868,836.907179548,21331
adder_dcop_63,5,30,25000,1813,5577,14,4.50570840716,835.709173327,21104
adder_dcop_41,5,30,25000,1813,5577,14,4.35051697696,842.239721087,26139
ASIC_100k,5,30,2500,99340,520018,64,2.79879614324,3165.05316047,36541
oscil_dcop_04,5,30,250000,430,1027,10,1.47734098349,308.565348466,16829
oscil_dcop_50,5,30,250000,430,1027,10,3.52563981575,308.21397844,24813
adder_dcop_48,5,30,25000,1813,5577,14,4.82969948226,840.925459129,21533
adder_dcop_21,5,30,25000,1813,5577,14,3.55909360459,850.522034721,35906
oscil_dcop_15,5,30,250000,430,1027,10,2.72691988744,316.207585867,20829
oscil_dcop_21,5,30,250000,430,1027,10,2.18902468445,306.886038953,21975
adder_dcop_40,5,30,25000,1813,5577,14,4.36667166807,848.256447512,26193
fpga_dcop_14,5,30,125000,1220,3858,6,15.8308623274,1485.54701793,25041
adder_dcop_36,5,30,25000,1813,5577,14,3.73214239901,834.117156804,27449
fpga_dcop_09,5,30,125000,1220,3857,6,15.2588232834,1496.22143033,17700
oscil_dcop_08,5,30,250000,430,1027,10,1.81059288695,312.853179903,20631
adder_dcop_66,5,30,25000,1813,5577,14,3.80585379625,841.531531532,21103
oscil_dcop_24,5,30,250000,430,1027,10,3.28244080163,310.809431459,9270
fpga_dcop_21,5,30,125000,1220,3858,6,7.43489115043,1508.45253576,3010
adder_dcop_57,5,30,25000,1813,5577,14,4.33253336504,838.409526089,21340
adder_dcop_35,5,30,25000,1813,5577,14,4.79725484676,839.615292426,33865
